TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-130480-2025","2025-12-19 16:10:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1599888","70.58","70.58","1 B/R","1","","","","0","0","","Terra Gardens"
"102-130481-2025","2025-12-19 16:10:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Building","Villa","3631770","141.96","141.96","3 B/R","","","","","0","0","","Grand Polo - Equestra"
"102-130482-2025","2025-12-19 16:13:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1147715","68.66","68.66","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","ALTA VIEW SKYHOMES"
"102-130483-2025","2025-12-19 16:14:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1739999.2","108.26","108.26","2 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Haven "
"102-130484-2025","2025-12-19 16:18:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1417049.72","89.17","89.17","1 B/R","1  0","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Azha Millennium Residences"
"102-130485-2025","2025-12-19 16:21:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","2636400","111.67","111.67","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Azizi Riviera 49"
"102-130486-2025","2025-12-19 16:21:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1612629","108.5","108.5","2 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","ALTA VIEW SKYHOMES"
"102-130487-2025","2025-12-19 16:25:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1082888","62.81","62.81","1 B/R","1","","","","0","0","","Golf Hills 2"
"102-130488-2025","2025-12-19 16:28:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1899888","92.32","92.32","2 B/R","1","","","","0","0","","Golf Hills"
"102-130489-2025","2025-12-19 16:28:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Building","Villa","3627888","148.88","148.88","3 B/R","","","","","0","0","","Grand Polo - Equiterra 2"
"102-130490-2025","2025-12-19 16:29:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1287076","69.03","69.03","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","ALTA VIEW SKYHOMES"
"102-130491-2025","2025-12-19 16:32:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","650000","35.09","35.09","Studio","1","","","","0","0","","azizi venice 13 "
"102-130492-2025","2025-12-19 16:32:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","760719.43","36.66","36.66","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Avana Residences by DECA Real Estate Development"
"102-130493-2025","2025-12-19 16:33:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1512498.9","71.09","71.09","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Ruby"
"102-130494-2025","2025-12-19 16:33:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MOTOR CITY","Unit","Flat","2021976","110.32","110.32","2 B/R","1","Dubai Internet City","Mall of the Emirates","Motor City","0","0","","Takaya "
"102-130495-2025","2025-12-19 16:33:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1447893.16","90.01","90.01","1 B/R","1  0","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Azha Millennium Residences"
"102-130496-2025","2025-12-19 16:34:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1493410","92.02","92.02","2 B/R","1","","","","0","0","","Golf Hills 2"
"102-130497-2025","2025-12-19 16:34:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","6997368","154.78","154.78","2 B/R","2","","","","0","0","","Sobha Seahaven Tower B & C"
"102-130498-2025","2025-12-19 16:35:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1559000","95.51","95.51","2 B/R","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","TREPPAN TOWER"
"102-130499-2025","2025-12-19 16:36:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","800000","41.63","41.63","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130500-2025","2025-12-19 16:37:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","623000","36.64","36.64","Studio","1","","","","0","0","","AZIZI VENICE 3"
"102-130501-2025","2025-12-19 16:38:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","772098","38.66","38.66","Studio","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","ALTA VIEW SKYHOMES"
"102-130502-2025","2025-12-19 16:39:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1700000","110.15","110.15","2 B/R","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Bellagio by Sunrise"
"102-130503-2025","2025-12-19 16:41:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1612888","83.34","83.34","2 B/R","1","","","","0","0","","ROSEWELL"
"102-130504-2025","2025-12-19 16:42:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","980043","75.06","75.06","1 B/R","1","","","IMG World Adventures","0","0","","BLISS TOWER "
"102-130505-2025","2025-12-19 16:44:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","998910","66.95","66.95","1 B/R","1","","","IMG World Adventures","0","0","","Azizi Milan 28"
"102-130506-2025","2025-12-19 16:46:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Building","Villa","3693888","141.96","141.96","3 B/R","","","","","0","0","","Grand Polo - Equiterra "
"102-130507-2025","2025-12-19 16:49:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","694000","35.36","35.36","Studio","1","","","","0","0","","Azizi Venice 15"
"102-130508-2025","2025-12-19 16:50:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","694397","42.22","42.22","Studio","1  0","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Azha Millennium Residences"
"102-130509-2025","2025-12-19 16:50:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1637499","43.26","43.26","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyrise"
"102-130510-2025","2025-12-19 16:51:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2710828","80.34","80.34","1 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130511-2025","2025-12-19 16:56:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","982127","74.02","74.02","1 B/R","1","","","IMG World Adventures","0","0","","BLISS TOWER "
"102-130512-2025","2025-12-19 16:56:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","680000","39.04","39.04","Studio","1","","","","0","0","","azizi venice 12"
"102-130513-2025","2025-12-19 17:01:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1662499","43","43","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyrise"
"102-130514-2025","2025-12-19 17:01:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","885000","58.85","58.85","1 B/R","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Bellagio by Sunrise"
"102-130515-2025","2025-12-19 17:13:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2240000","92.37","92.37","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyhall"
"102-130516-2025","2025-12-19 17:15:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1175000","59.88","59.88","1 B/R","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","TREPPAN TOWER"
"102-130517-2025","2025-12-19 17:15:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1169999","63.69","63.69","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130518-2025","2025-12-19 17:19:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","3867828","129.08","129.08","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130519-2025","2025-12-19 17:21:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1022386","76.13","76.13","1 B/R","1","","","IMG World Adventures","0","0","","BLISS TOWER "
"102-130520-2025","2025-12-19 17:25:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","823996.8","34.01","34.01","Studio","1","Al Jadaf Metro Station","Dubai Mall","Downtown Dubai","0","0","","ADEBA AZIZI "
"102-130521-2025","2025-12-19 17:27:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1204400","73.48","73.48","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Marquis One"
"102-130522-2025","2025-12-19 17:27:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1223000","49.38","49.38","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyhall"
"102-130523-2025","2025-12-19 17:35:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","1138000","79.34","79.34","1 B/R","1","","","IMG World Adventures","0","0","","AZIZI MILAN 51"
"102-130524-2025","2025-12-19 17:38:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3499999","93.76","93.76","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","One by Binghatti "
"102-130525-2025","2025-12-19 17:43:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","630000","35.39","35.39","Studio","1","","","","0","0","","azizi venice 13 "
"102-130526-2025","2025-12-19 17:48:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","800000","40.25","40.25","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130527-2025","2025-12-19 17:48:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1364933.43","68.86","68.86","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Samana Imperial Garden"
"102-130528-2025","2025-12-19 17:51:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1774999","42.9","42.9","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyblade"
"102-130529-2025","2025-12-19 17:52:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1167111.11","71.29","71.29","1 B/R","1","","","IMG World Adventures","0","0","","Samana Boulevard Heights"
"102-130530-2025","2025-12-19 17:53:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","949999","44.12","44.12","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Ruby"
"102-130531-2025","2025-12-19 17:56:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","3479999","141.63","141.63","3 B/R","2","Healthcare City Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Pinnacle"
"102-130532-2025","2025-12-19 17:58:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","772000","39.84","39.84","Studio","1","","","IMG World Adventures","0","0","","Samana Boulevard Heights"
"102-130533-2025","2025-12-19 17:59:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3289999","70.75","70.75","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyblade"
"102-130534-2025","2025-12-19 18:00:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","800000","41.63","41.63","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130535-2025","2025-12-19 18:01:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1040833.34","69.74","69.74","1 B/R","1","","","IMG World Adventures","0","0","","Samana Barari Heights"
"102-130536-2025","2025-12-19 18:02:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2341828","74.41","74.41","1 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130537-2025","2025-12-19 18:03:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","756756","40.12","40.12","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Marquis One"
"102-130538-2025","2025-12-19 18:03:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","686999","34.63","34.63","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130539-2025","2025-12-19 18:05:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","2479999","102.41","102.41","2 B/R","1","Healthcare City Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Pinnacle"
"102-130540-2025","2025-12-19 18:05:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","630000","35.39","35.39","Studio","1","","","","0","0","","azizi venice 13 "
"102-130541-2025","2025-12-19 18:06:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1296222.56","101.78","101.78","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-130542-2025","2025-12-19 18:07:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","800000","40.47","40.47","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130543-2025","2025-12-19 18:08:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1734999","35.82","35.82","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyblade"
"102-130544-2025","2025-12-19 18:10:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","690999","34.31","34.31","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130545-2025","2025-12-19 18:11:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1096999","70.23","70.23","1 B/R","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130546-2025","2025-12-19 18:14:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","962499","38.41","38.41","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Ruby"
"102-130547-2025","2025-12-19 18:15:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","4759999","117.14","117.14","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyblade"
"102-130548-2025","2025-12-19 18:16:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1169999","63.67","63.67","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130549-2025","2025-12-19 18:18:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","693999","34.81","34.81","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130550-2025","2025-12-19 18:22:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","691999","34.46","34.46","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130551-2025","2025-12-19 18:22:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1169999","63.6","63.6","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130552-2025","2025-12-19 18:24:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1967000","127.66","127.66","2 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillviews"
"102-130553-2025","2025-12-19 18:25:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","800000","42.17","42.17","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130554-2025","2025-12-19 18:28:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","1162500","40.47","40.47","Studio","1","","","","0","0","","Binghatti Ghost"
"102-130555-2025","2025-12-19 18:30:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","705999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130556-2025","2025-12-19 18:35:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","688999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130557-2025","2025-12-19 18:38:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Shop","3684999","122.51","122.51","NA","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130558-2025","2025-12-19 18:41:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1184999","67.18","67.18","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130559-2025","2025-12-19 18:41:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","998110","75.06","75.06","1 B/R","1","","","IMG World Adventures","0","0","","BLISS TOWER "
"102-130560-2025","2025-12-19 18:41:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1665000","95.74","95.74","2 B/R","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","TREPPAN TOWER"
"102-130561-2025","2025-12-19 18:44:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","827000","42.3","42.3","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Marquis One"
"102-130562-2025","2025-12-19 18:44:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1169999","63.78","63.78","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130563-2025","2025-12-19 18:48:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","920000","40.3","40.3","Studio","1","","","","0","0","","Binghatti Starlight"
"102-130564-2025","2025-12-19 18:55:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","889000","40.03","40.03","Studio","1","","","","0","0","","Binghatti Starlight"
"102-130565-2025","2025-12-19 18:57:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1103601","75.06","75.06","1 B/R","1","","","IMG World Adventures","0","0","","BLISS TOWER "
"102-130566-2025","2025-12-19 19:02:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","744999","33.63","33.63","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130567-2025","2025-12-19 19:07:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","722999","51.99","51.99","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130568-2025","2025-12-19 19:11:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","679999","33.95","33.95","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130569-2025","2025-12-19 19:19:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1090000","58.57","58.57","1 B/R","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","TREPPAN TOWER"
"102-130570-2025","2025-12-19 19:24:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","693999","34.79","34.79","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130571-2025","2025-12-19 19:29:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2221999","72.94","72.94","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Aquarise"
"102-130572-2025","2025-12-19 19:34:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","705999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130573-2025","2025-12-19 19:34:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1429632","77.43","77.43","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Marquis One"
"102-130574-2025","2025-12-19 19:38:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","721999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130575-2025","2025-12-19 19:44:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","708999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130576-2025","2025-12-19 19:49:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2256999","73.46","73.46","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Aquarise"
"102-130577-2025","2025-12-19 19:55:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","713999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130578-2025","2025-12-19 20:00:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","721999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130579-2025","2025-12-19 20:04:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","711999","34.6","34.6","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130580-2025","2025-12-19 20:10:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","714999","34.6","34.6","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130581-2025","2025-12-19 22:17:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1500005.47","129.17","129.17","2 B/R","1","","","IMG World Adventures","0","0","","Samana IBIZA"
"102-130582-2025","2025-12-20 07:52:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","705999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130583-2025","2025-12-20 09:11:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Office","1916160","74.17","74.17","NA","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","ASPIRZ By Danube"
"102-130585-2025","2025-12-20 09:23:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1651580","38.47","38.47","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-130586-2025","2025-12-20 09:30:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","4033260","95.57","95.57","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-130587-2025","2025-12-20 09:35:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","4450750","114.8","114.8","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
